"N","a","t","H_A","rho_f","P_obs_f","w_f","m_eff","sigma","kF_over_m"
-3.2894072757057797,0.0372759372031494,0.010518876074156039,63.190153280718576,2994.557376022661,-55.67217395797438,-0.018591119476868253,11238.528343352727,0.26150089080756406,0.00011089244246320069
-3.256513202948722,0.03852248420036752,0.011052353488190243,60.17873338382788,2718.2630073958194,-52.99191514312906,-0.01949477110895791,11249.29627550161,0.23692780441326985,0.0001072013673994922
-3.223619130191664,0.03981071705534973,0.011612515187908172,57.31319479054635,2467.686209675567,-50.44069355489377,-0.020440481191295927,11260.608835139587,0.2146638366311777,0.00010362823309594606
-3.190725057434606,0.04114202978752842,0.012200671181795578,54.58643955594285,2240.4221441682243,-48.01229689253541,-0.021430022470323502,11272.49356879067,0.1944920009310955,0.00010016921152737448
-3.1578309846775485,0.0425178630338289,0.012818193608547843,51.9917171358141,2034.2913841044526,-45.70081193526331,-0.022465224152429856,11284.979416244923,0.17621570088053304,0.00009682059917190987
-3.1249369119204906,0.04393970560760791,0.013466519472497182,49.5226072077837,1847.318760223148,-43.50061014384349,-0.0235479718392449,11298.09678102796,0.1596568140991233,0.0000935788130398565
-3.0920428391634327,0.04540909610972476,0.014147153478771187,47.17300335469293,1677.7141929038603,-41.406333955342035,-0.024680207231050577,11311.877604434729,0.14465395626272695,0.00009044038683420915
-3.059148766406375,0.04692762459348838,0.014861670969762602,44.93709756601499,1523.8553242364571,-39.41288373763722,-0.02586392757290489,11326.355443307806,0.1310609082380561,0.0000874019672386739
-3.0262546936493173,0.04849693428528198,0.015611720964289037,42.809365515370764,1384.2717809494466,-37.515405371944475,-0.027101184816621306,11341.565551749618,0.1187451910185386,0.00008446031032915536
-2.9933606208922594,0.05011872336272723,0.016399029300591582,40.78455257444069,1257.6309150036802,-35.70927843312619,-0.02839408447034056,11357.544966967553,0.10758677457262629,0.00008161227810479729
-2.9604665481352015,0.051794746792312114,0.0172254018840612,38.857660525661885,1142.7248830508668,-33.990104939012376,-0.029744784106096475,11374.33259946101,0.09747690802087393,0.00007885483513478103
-2.9275724753781436,0.05352681822847105,0.018092728040289094,37.02393493807964,1038.458938996703,-32.35369864134287,-0.031155491494541984,11391.96932776998,0.08831705974059459,0.00007618504531719819
-2.894678402621086,0.05531681197617227,0.019002983973710398,35.27885317259364,943.8408257235276,-30.796074832259457,-0.03262846233489833,11410.49809801589,0.08001795706826186,0.00007360006874641939
-2.861784329864028,0.057166665019136156,0.01995823633174738,33.618112984608835,857.9711627323665,-29.31344064153088,-0.03416599754725655,11429.964028477078,0.07249871624051665,0.00007109715868548213
-2.8288902571069703,0.059078379115879445,0.02096064587395742,32.037621693774,780.0347361633845,-27.902185800888233,-0.03577044009363693,11450.414519453561,0.06568605409410987,0.00006867365864011432
-2.795996184349913,0.061054022965853286,0.022012471245250388,30.5334858920735,709.2926064415788,-26.558873852984572,-0.03744417129374393,11471.899368688617,0.05951357384194129,0.00006632699953110003
